City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
219,Sume,BR,-7.6717,-36.88,90.46,25,3,13.8,clear sky
220,Skibbereen,IE,51.55,-9.2667,67.8,67,58,9.66,broken clouds
221,Zhezkazgan,KZ,47.8043,67.7144,57.51,54,1,7.49,clear sky
222,Mount Gambier,AU,-37.8333,140.7667,48.33,92,74,13.82,broken clouds
223,Cukai,MY,4.25,103.4167,79.05,84,11,2.19,few clouds
224,Mahebourg,MU,-20.4081,57.7,73.26,82,11,7.54,few clouds
225,Ukiah,US,39.1502,-123.2078,67.37,88,90,0.0,mist
226,Sao Felix Do Xingu,BR,-6.6447,-51.995,101.46,24,6,3.69,clear sky
227,Caucaia,BR,-3.7361,-38.6531,89.55,65,20,23.02,few clouds
228,Tiblawan,PH,6.4783,126.1083,79.57,84,100,8.19,heavy intensity rain
229,Inhambane,MZ,-23.865,35.3833,69.94,70,100,20.07,overcast clouds
230,Okhotsk,RU,59.3833,143.3,49.75,87,100,9.89,light rain
231,Saint George,US,37.1041,-113.5841,82.54,19,1,0.0,clear sky
232,Toropets,RU,56.4978,31.6353,48.78,56,70,10.69,broken clouds
233,Medina,SA,24.4686,39.6142,100.83,16,40,14.97,scattered clouds
234,Boyle,US,37.6334,-84.8666,80.55,69,75,0.0,broken clouds
235,Laela,TZ,-8.5667,32.05,84.63,26,48,5.28,scattered clouds
236,Mehamn,NO,71.0357,27.8492,44.55,65,0,11.5,clear sky
237,Andenes,NO,69.3143,16.1194,51.78,71,75,9.22,broken clouds
238,Mount Isa,AU,-20.7333,139.5,64.17,39,1,5.75,clear sky
239,Northam,GB,51.0333,-4.2167,68.14,75,82,11.3,broken clouds
240,Golyshmanovo,RU,56.3979,68.3728,40.03,88,100,16.13,overcast clouds
241,Atar,MR,20.5169,-13.0499,97.25,18,98,10.85,overcast clouds
242,Ostrovnoy,RU,68.0531,39.5131,42.76,81,100,7.87,overcast clouds
243,Seydi,TM,39.4816,62.9137,87.21,9,0,9.62,clear sky
244,Surgut,RU,61.25,73.4167,44.78,93,40,8.95,scattered clouds
245,Treinta Y Tres,UY,-33.2333,-54.3833,64.24,58,35,12.15,scattered clouds
246,Cabedelo,BR,-6.9811,-34.8339,86.67,66,7,15.19,clear sky
247,Burdur,TR,37.7203,30.2908,74.1,25,0,14.97,clear sky
248,Urucui,BR,-7.2294,-44.5561,98.38,20,0,10.71,clear sky
249,Provideniya,RU,64.3833,-173.3,37.17,72,94,5.88,overcast clouds
250,Saint-Augustin,CA,51.226,-58.6502,64.72,51,37,17.54,scattered clouds
251,Uvat,RU,59.1433,68.8953,39.56,97,100,13.15,light rain
252,Nagato,JP,34.3833,131.2,75.09,90,100,15.28,overcast clouds
253,Buin,CL,-33.7333,-70.75,64.72,50,100,0.81,overcast clouds
254,Nuuk,GL,64.1835,-51.7216,39.81,56,20,5.75,few clouds
255,Moa,CU,20.6569,-74.9403,86.11,71,90,11.5,overcast clouds
256,Sambava,MG,-14.2667,50.1667,72.19,78,96,6.22,overcast clouds
257,Martapura,ID,-3.4167,114.85,77.09,94,81,2.3,broken clouds
258,Morinville,CA,53.8001,-113.652,45.48,63,100,13.06,overcast clouds
259,Maningrida,AU,-12.0667,134.2667,74.52,67,11,9.19,few clouds
260,Los Llanos De Aridane,ES,28.6585,-17.9182,76.75,73,40,14.97,scattered clouds
261,Alta Floresta,BR,-9.8756,-56.0861,99.07,28,9,3.53,clear sky
262,Vyartsilya,RU,62.1764,30.693,45.91,78,95,4.61,overcast clouds
263,Karabuk,TR,41.2049,32.6277,70.61,45,0,2.19,clear sky
264,Nizwa,OM,22.9333,57.5333,95.99,17,17,2.19,few clouds
265,Constitucion,CL,-35.3333,-72.4167,57.97,68,92,11.1,overcast clouds
266,Dunmore East,IE,52.1514,-6.9861,66.52,76,75,5.75,broken clouds
267,Adamantina,BR,-21.6853,-51.0725,95.43,22,28,13.8,scattered clouds
268,Kendal,GB,54.3268,-2.7476,70.74,71,80,6.76,broken clouds
269,Perepravnaya,RU,44.3366,40.7849,60.19,78,71,0.36,broken clouds
270,Avera,US,33.194,-82.5271,80.47,72,94,4.92,overcast clouds
271,Baykit,RU,61.67,96.37,43.05,80,100,4.88,overcast clouds
272,Kamyshevatskaya,RU,46.4132,37.9563,68.72,45,2,9.13,clear sky
273,Mogadishu,SO,2.0371,45.3438,78.64,77,42,14.72,scattered clouds
274,Hambantota,LK,6.1241,81.1185,82.74,89,20,12.66,few clouds
275,Magdalena,PH,14.1999,121.429,82.42,94,94,4.61,light rain
276,Farafangana,MG,-22.8167,47.8333,73.02,86,11,13.42,few clouds
277,Flinders,AU,-34.5833,150.8552,65.05,83,100,1.01,light rain
278,Srednekolymsk,RU,67.45,153.6833,44.06,74,77,4.79,broken clouds
279,Yerbogachen,RU,61.2767,108.0108,42.69,62,99,2.55,overcast clouds
280,Bonavista,CA,48.6499,-53.1147,57.7,67,7,6.96,clear sky
281,Sagae,JP,38.3725,140.2725,69.75,99,100,2.51,overcast clouds
282,Sapa,PH,5.1544,120.3241,80.71,81,100,4.36,overcast clouds
283,Bardiyah,LY,31.7561,25.0865,80.29,61,0,16.42,clear sky
284,Suez,EG,29.9737,32.5263,87.87,32,0,10.94,clear sky
285,Poiana Blenchii,RO,47.3,23.75,75.43,77,93,8.99,moderate rain
286,Cap-Haitien,HT,19.7578,-72.2042,85.95,62,75,6.91,broken clouds
287,Antofagasta,CL,-23.65,-70.4,63.21,56,35,9.66,scattered clouds
288,Touros,BR,-5.1989,-35.4608,86.9,55,4,19.08,clear sky
289,Emporia,US,38.4039,-96.1817,81.52,73,1,4.61,clear sky
290,Outram,MY,1.2829,103.8379,84.13,78,75,5.75,broken clouds
291,Guarapari,BR,-20.6667,-40.4975,78.69,67,40,10.27,scattered clouds
292,Bathsheba,BB,13.2167,-59.5167,90.21,58,20,18.41,few clouds
293,Pucallpa,PE,-8.3791,-74.5539,78.84,78,75,3.44,broken clouds
294,Black Forest,US,39.0131,-104.7008,55.85,75,1,11.01,clear sky
295,Ternate,ID,0.8,127.4,76.77,76,100,5.66,overcast clouds
296,Comodoro Rivadavia,AR,-45.8667,-67.5,60.66,29,0,18.41,clear sky
297,Kenai,US,60.5544,-151.2583,43.09,95,90,0.0,overcast clouds
298,Alpena,US,45.0617,-83.4327,75.11,68,1,4.0,clear sky
299,Faanui,PF,-16.4833,-151.75,78.64,72,5,23.69,light rain
300,Nouadhibou,MR,20.931,-17.0347,73.44,81,94,21.07,overcast clouds
301,Capao Da Canoa,BR,-29.7456,-50.0097,60.3,90,100,13.13,moderate rain
302,Ladushkin,RU,54.5703,20.171,57.06,91,97,11.32,overcast clouds
303,Noumea,NC,-22.2763,166.4572,60.78,58,42,5.01,scattered clouds
304,Boma,GH,7.0805,-2.1697,85.28,64,98,1.63,overcast clouds
305,Lubaczow,PL,50.157,23.1234,57.63,97,100,17.13,moderate rain
306,Taua,BR,-5.9667,-40.3,92.97,25,0,12.41,clear sky
307,Sao Joao Del Rei,BR,-21.1356,-44.2617,80.82,44,77,10.36,broken clouds
308,Eureka,US,40.8021,-124.1637,52.93,90,83,2.53,broken clouds
309,Esmeraldas,BR,-19.7625,-44.3139,81.46,38,48,11.95,scattered clouds
310,Santa Maria,BR,-29.6842,-53.8069,62.46,80,87,8.16,moderate rain
311,Olenino,RU,56.2092,33.4889,45.81,59,95,5.99,overcast clouds
312,Narsaq,GL,60.9167,-46.05,43.02,72,19,3.18,few clouds
313,Mineros,BO,-17.1167,-63.2333,93.96,24,3,5.08,clear sky
314,Airai,TL,-8.9266,125.4092,57.54,65,20,3.31,few clouds
315,Darnah,LY,32.767,22.6367,79.12,66,0,19.39,clear sky
316,Pevek,RU,69.7008,170.3133,32.31,100,100,7.11,snow
317,Ambilobe,MG,-13.2,49.05,75.38,76,94,4.21,light rain
318,Ilhabela,BR,-23.7781,-45.3581,68.63,92,100,10.4,overcast clouds
319,Igrim,RU,63.1906,64.4162,41.81,68,95,15.79,overcast clouds
320,Hamirpur,IN,25.95,80.15,79.16,90,96,6.15,overcast clouds
321,Port-Cartier,CA,50.0334,-66.8654,61.75,65,39,10.94,scattered clouds
322,Blagoyevo,RU,63.3667,47.9167,40.6,66,100,7.61,overcast clouds
323,San Patricio,US,28.017,-97.5169,88.02,68,0,2.53,clear sky
324,Flin Flon,CA,54.7682,-101.865,44.47,81,100,8.08,overcast clouds
325,Hazleton,US,40.9584,-75.9746,71.02,87,90,3.44,overcast clouds
326,General Roca,AR,-39.0333,-67.5833,67.91,24,77,14.9,broken clouds
327,Santiago De Cuba,CU,20.0247,-75.8219,92.82,62,20,5.75,few clouds
328,Gao,ML,16.6362,1.637,104.22,14,100,3.42,overcast clouds
329,Pervomayskoye,RU,43.919,46.7102,63.36,56,73,9.73,broken clouds
330,Zhigansk,RU,66.7697,123.3711,37.65,80,99,12.35,overcast clouds
331,Fukue,JP,32.6881,128.8419,74.16,83,100,22.37,overcast clouds
332,Bagacay,PH,12.9821,124.1415,81.32,82,76,5.84,light rain
333,Yertsevo,RU,60.7966,40.086,42.21,84,98,5.59,overcast clouds
334,Tuatapere,NZ,-46.1333,167.6833,32.83,92,10,4.18,clear sky
335,Srebrenica,BA,44.1064,19.2969,72.37,73,91,4.25,overcast clouds
336,Voi,KE,-3.3945,38.563,82.85,41,5,19.6,clear sky
337,Kattivakkam,IN,13.2167,80.3167,86.09,76,100,8.3,overcast clouds
338,Acajutla,SV,13.5928,-89.8275,83.37,69,100,2.77,overcast clouds
